,categories,delivery.id,delivery.provider.icon.name,delivery.provider.icon.prefix,delivery.provider.icon.sizes,delivery.provider.name,delivery.url,hasPerk,id,location.address,location.cc,location.city,location.country,location.crossStreet,location.distance,location.formattedAddress,location.labeledLatLngs,location.lat,location.lng,location.postalCode,location.state,name,referralId,venuePage.id
0,"[{'id': '4bf58dd8d48988d14e941735', 'name': 'American Restaurant', 'pluralName': 'American Restaurants', 'shortName': 'American', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4ad4bff0f964a52021e920e3,2035 E 4th St,US,Cleveland,United States,,367,"['2035 E 4th St', 'Cleveland, OH 44115', 'United States']","[{'label': 'display', 'lat': 41.49914493913805, 'lng': -81.69017656212975}]",41.49914493913805,-81.69017656212975,44115,OH,Pickwick & Frolic Restaurant and Club,v-1543089334,52556740
1,"[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4ae1cb35f964a520738721e3,2061 E 4th St,US,Cleveland,United States,,349,"['2061 E 4th St', 'Cleveland, OH 44115', 'United States']","[{'label': 'display', 'lat': 41.498871, 'lng': -81.69014899999999}]",41.498871,-81.69014899999999,44115,OH,Saigon Restaurant & Bar,v-1543089334,
2,"[{'id': '4bf58dd8d48988d146941735', 'name': 'Deli / Bodega', 'pluralName': 'Delis / Bodegas', 'shortName': 'Deli / Bodega', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/deli_', 'suffix': '.png'}, 'primary': True}]",283564,/delivery_provider_grubhub_20180129.png,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",grubhub,https://www.grubhub.com/restaurant/barristers-deli-1424-hamilton-ave-cleveland/283564?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=283564,False,4cd6d9b3aeb1224b377f2aff,1424 Hamilton Ave,US,Cleveland,United States,,1234,"['1424 Hamilton Ave', 'Cleveland, OH 44114', 'United States']","[{'label': 'display', 'lat': 41.50674797333065, 'lng': -81.68656625398994}]",41.50674797333065,-81.68656625398994,44114,OH,Barrister's Deli- Restaurant- Catering,v-1543089334,418559616
3,"[{'id': '4bf58dd8d48988d157941735', 'name': 'New American Restaurant', 'pluralName': 'New American Restaurants', 'shortName': 'New American', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/newamerican_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,5748cb02498e1c0c6cfa6584,Hilton Cleveland Downtown,US,Cleveland,United States,,706,"['Hilton Cleveland Downtown', 'Cleveland, OH 44114', 'United States']","[{'label': 'display', 'lat': 41.50299558347314, 'lng': -81.69587648445662}]",41.50299558347314,-81.69587648445662,44114,OH,The Burnham Restaurant,v-1543089334,
4,"[{'id': '4bf58dd8d48988d147941735', 'name': 'Diner', 'pluralName': 'Diners', 'shortName': 'Diner', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/diner_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,50331b85e4b012c9cf787015,,US,Cleveland,United States,,1022,"['Cleveland, OH 44113', 'United States']","[{'label': 'display', 'lat': 41.48983457405474, 'lng': -81.68563538767366}]",41.48983457405474,-81.68563538767366,44113,OH,Ernie's Restaurant,v-1543089334,
5,"[{'id': '4bf58dd8d48988d1c5941735', 'name': 'Sandwich Place', 'pluralName': 'Sandwich Places', 'shortName': 'Sandwiches', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/deli_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4ad4bff2f964a520aee920e3,3106 Saint Clair Ave NE,US,Cleveland,United States,at E 31st St,2555,"['3106 Saint Clair Ave NE (at E 31st St)', 'Cleveland, OH 44114', 'United States']","[{'label': 'display', 'lat': 41.51288441093231, 'lng': -81.67139184840927}]",41.51288441093231,-81.67139184840927,44114,OH,Slyman's Restaurant,v-1543089334,
6,"[{'id': '4bf58dd8d48988d14e941735', 'name': 'American Restaurant', 'pluralName': 'American Restaurants', 'shortName': 'American', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,5856a37a109dfe3142958f1e,1228 Euclid Ave,US,Cleveland,United States,E. 12th St.,899,"['1228 Euclid Ave (E. 12th St.)', 'Cleveland, OH 44115', 'United States']","[{'label': 'display', 'lat': 41.50061932095805, 'lng': -81.68384147291471}]",41.50061932095805,-81.68384147291471,44115,OH,Yours Truly Restaurant,v-1543089334,
7,"[{'id': '4bf58dd8d48988d14a941735', 'name': 'Vietnamese Restaurant', 'pluralName': 'Vietnamese Restaurants', 'shortName': 'Vietnamese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vietnamese_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4d692ffc4c463704909c9eb3,5428 Detroit Ave,US,Cleveland,United States,,2922,"['5428 Detroit Ave', 'Cleveland, OH 44102', 'United States']","[{'label': 'display', 'lat': 41.48550026777962, 'lng': -81.72499254952095}]",41.48550026777962,-81.72499254952095,44102,OH,Minh Ahn Vietnamese Restaurant,v-1543089334,
8,"[{'id': '4bf58dd8d48988d14e941735', 'name': 'American Restaurant', 'pluralName': 'American Restaurants', 'shortName': 'American', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,504bc388e4b03e711f5c6b38,House of Blues,US,Cleveland,United States,,360,"['House of Blues', 'Cleveland, OH 44114', 'United States']","[{'label': 'display', 'lat': 41.49923668162894, 'lng': -81.6904091835022}]",41.49923668162894,-81.6904091835022,44114,OH,HoB Restaurant & Bar,v-1543089334,
9,"[{'id': '4bf58dd8d48988d155941735', 'name': 'Gastropub', 'pluralName': 'Gastropubs', 'shortName': 'Gastropub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/gastropub_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4ce6be2bf1c6236ada4c55f0,1947 W 25th St,US,Cleveland,United States,at Market Ave,1584,"['1947 W 25th St (at Market Ave)', 'Cleveland, OH 44113', 'United States']","[{'label': 'display', 'lat': 41.4849198244686, 'lng': -81.7036485671997}]",41.4849198244686,-81.7036485671997,44113,OH,Market Garden Brewery & Restaurant,v-1543089334,
10,"[{'id': '4bf58dd8d48988d14e941735', 'name': 'American Restaurant', 'pluralName': 'American Restaurants', 'shortName': 'American', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,4ad4bff2f964a520c2e920e3,420 Superior Ave E,US,Cleveland,United States,in Hyatt Regency Cleveland at The Arcade,462,"['420 Superior Ave E (in Hyatt Regency Cleveland at The Arcade)', 'Cleveland, OH 44114', 'United States']","[{'label': 'display', 'lat': 41.50063425179471, 'lng': -81.6909366958338}]",41.50063425179471,-81.6909366958338,44114,OH,1890 Restaurant & Lounge,v-1543089334,47791445
11,"[{'id': '4bf58dd8d48988d11e941735', 'name': 'Cocktail Bar', 'pluralName': 'Cocktail Bars', 'shortName': 'Cocktail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/cocktails_', 'suffix': '.png'}, 'primary': True}]",,,,,,,False,5722a486498ee138ba688ca5,1330 Old River Rd,US,Cleveland,United States,,747,"['1330 Old River Rd', 'Cleveland, OH 44113', 'United States']","[{'label': 'display', 'lat': 41.497838291216254, 'lng': -81.70231407841062}]",41.497838291216254,-81.70231407841062,44113,OH,East End Restaurant & Bar,v-1543089334,
